userName,score,at,content
Pengguna Google,1,2024-08-30 12:45:22,"Harga yg tertera berubah ubah setiap detik, tidak menampilkan harga yg sebenarnya. Misal : Rabu 6 September di kolom menu atas Harga tiket pesawat nya Rp 5.130.000, tiba-tiba pas kita klik kolom nya tsb, harganya langsung berubah dan naik drastis Berulang kali seperti itu. Sangat tidak masuk akal!!!"
Pengguna Google,1,2024-10-12 07:41:43,"Saya kecewa dengan Traveloka bukan semakin canggih ini malah semakin nggak karuan, saya mau check in online 1X24 nggak bisa malah keluar di aplikasi itu survei melulu saya mau check in keluar survei dan malah disuruh check in di bandara ya nggak usah pake apk lah kalau mau ke bandara 👺👺👺👺😡😡😡"
Pengguna Google,3,2024-08-27 16:56:02,"Semakin kesini semakin ga jelas kebijakan Traveloka,masak iya cuma karena 1 bln ini transaksi ga sebanyak bulan sebelum nya auto down great 2 level dan tiba tiba limit nya berkurang padahal pembayaran juga lancar ga pernah telat,sangat kecewa buat saya pelanggan Traveloka lama udh hampir 10th .klo sistem sudah di perbaiki baru bintang 5 yg berbicara"
Pengguna Google,2,2024-10-02 08:56:16,"Traveloka sekarang menjengkelkan ya. Tolong harga hotel per malam yang ditampilkan itu sudah harga final seperti dulu, jangan harga dasar. Saya hampir kena jebakan Betmen, harga per malam murah, tapi tertulis total sekian malam kok ada selisih yang lumayan, ternyata biaya-biaya dan pajak untuk harga semalam disembunyikan. Payah"
Pengguna Google,1,2024-09-15 07:08:49,"Saya kecewa dengan Aplikasi traveloka yg sekarang banyak nipu nya seharus nya kalo tiket, atau hotel sudah terjual jangan di tampilkan di menu, kenapa masi muncul di menu pada saat sudah melakakukan pemesan dana sudah masuk tiba tiba seenak jidad nya di cancel atau di batalkan dan uang refund tidak bisa balik langsung harus nunggu 5 hari kerja, aplikasi terparah nggak lagi saya pake aplikasi traveloka"
Pengguna Google,1,2024-08-29 20:17:18,"Aplikasi sampah, saya barusan melakukan pesanan di hotel traveloka, namun voucher nya tidak langsung keluar dan saya tidak bisa checkin sehingga saya harus memesan hotel dr aplikasi Agoda dan mencoba menghubungi aplikasi untk penyelesaian namun dr aplikasi tidak ada reapon dan hanya muncul jawaban robot. Namun setelah hampir 3 jam tiketnya muncul dan uang saya tidak bisa kembali. Dengan alasan aplikasi tinggi pelaporan nya. Alasan sampah mending layanan cust service agoda."
Pengguna Google,5,2024-08-23 18:58:40,"Sy pengguna baru yg membeli tiket di traveloka, semua berjalan lancar, tapi kenapa kalau pesan tiket bis jumlah penumpang tdk bisa di scroll ke bawah, jadi pesanan cuma utk 1 orang saja padahal ada pilihan utk 2 orang tapi tdk bisa di scroll ke bawah.. Mohon di perbaiki sistem nya🙏"
Pengguna Google,1,2024-09-10 10:13:34,"Sementara 1 dulu klo sudah baik fitur kameranya buat ambil foto dokumen kayak ktp disuruh ngepasin di kotak tapi selalu blur, jaringan stabil hp juga ga jelek jelek amat samsung note 10+. Nanti klo sudah bisa saya kasih 5 bintang"
Pengguna Google,1,2024-09-17 16:45:30,"Tiap pesan hotel data gak jelas, map ngaco, beberapa kali nyasar letih campur kesal jadi satu, no. Telp hotel yg bisa di hubungi gak ada, data pesanan gak akurat, takut banget ngasih nama hotel yg sebenarnya padahal bagaimanapun pesan lewat traveloka lebih murah dibandingkan reservasi offline, mau cari sesuai nama hotel yg sdh du inapu susah."
Pengguna Google,1,2024-10-04 13:42:37,"Saya sudah bayar uang buat booking hotel tapi malah gagal voucher, sedangkan uang sudah di tf, ga jelas banget! Untuk refund keterangan nya 3-5 hari, sedangkan saya butuh buat nginap besok, ga jelas banget traveloka merugikan saya"
